# Interval times for variable: Distance
# Criterion: var lowbound :0[R_V]
# Criterion: var upbound  :4[R_V]
     12.020106150000     12.020108540000
     12.020206136000     12.020208530000
     12.020306126000     12.020308506000
     12.020406120000     12.020408496000
     12.020506110000     12.020508490000
     12.020606090000     12.020608480000
     12.020706080000     12.020708460000
     12.020806070000     12.020808450000
     12.020906060000     12.020908440000
     12.021006050000     12.021008430000
     12.021106026000     12.021108420000
     12.021206016000     12.021208396000
     12.021306010000     12.021308386000
     12.021406000000     12.021408380000
     12.021505580000     12.021508370000
     12.021605570000     12.021608350000
     12.021705560000     12.021708340000
     12.021805550000     12.021808330000
     12.021905530000     12.021908320000
     12.022005516000     12.022008300000
     12.022105506000     12.022108286000
     12.022205496000     12.022208276000
     12.022305490000     12.022308270000
     12.022405470000     12.022408250000
     12.022505460000     12.022508240000
     12.022605450000     12.022608230000
     12.022705440000     12.022708220000
     12.022805420000     12.022808200000
