# Interval times for variable: Distance
# Criterion: var lowbound :0[R_V]
# Criterion: var upbound  :4[R_V]
     12.010107020000     12.010109400000
     12.010207010000     12.010209380000
     12.010306586000     12.010309366000
     12.010406576000     12.010409346000
     12.010506570000     12.010509340000
     12.010606550000     12.010609330000
     12.010706540000     12.010709310000
     12.010806530000     12.010809300000
     12.010906510000     12.010909290000
     12.011006500000     12.011009270000
     12.011106490000     12.011109256000
     12.011206466000     12.011209246000
     12.011306460000     12.011309230000
     12.011406440000     12.011409220000
     12.011506430000     12.011509210000
     12.011606420000     12.011609190000
     12.011706400000     12.011709180000
     12.011806390000     12.011809160000
     12.011906380000     12.011909150000
     12.012006356000     12.012009136000
     12.012106346000     12.012109120000
     12.012206330000     12.012209110000
     12.012306280000     12.012309060000
     12.012406246000     12.012409026000
     12.012506236000     12.012509016000
     12.012606230000     12.012609010000
     12.012706210000     12.012709000000
     12.012806200000     12.012808590000
     12.012906190000     12.012908570000
     12.013006180000     12.013008560000
