# Interval times for variable: Distance
# Criterion: var lowbound :0[R_V]
# Criterion: var upbound  :4[R_V]
     12.040105030000     12.040107400000
     12.040205010000     12.040207390000
     12.040305000000     12.040307380000
     12.040404590000     12.040407360000
     12.040504580000     12.040507350000
     12.040604556000     12.040607340000
     12.040704546000     12.040707326000
     12.040804536000     12.040807316000
     12.040904530000     12.040907300000
     12.041004520000     12.041007290000
     12.041104500000     12.041107280000
     12.041204490000     12.041207270000
     12.041304480000     12.041307250000
     12.041404470000     12.041407240000
     12.041504460000     12.041507230000
     12.041604436000     12.041607216000
     12.041704426000     12.041707206000
     12.041804420000     12.041807190000
     12.041904410000     12.041907180000
     12.042004400000     12.042007170000
     12.042104380000     12.042107160000
     12.042204370000     12.042207150000
     12.042304360000     12.042307130000
     12.042404350000     12.042407120000
     12.042504326000     12.042507106000
     12.042604316000     12.042607096000
     12.042704310000     12.042707080000
     12.042804300000     12.042807070000
     12.042904290000     12.042907060000
