# Interval times for variable: Distance
# Criterion: var lowbound :0[R_V]
# Criterion: var upbound  :4[R_V]
     12.060102276000     12.060105066000
     12.060202240000     12.060205030000
     12.060302200000     12.060304590000
     12.060402160000     12.060404546000
     12.060502120000     12.060504510000
     12.060602080000     12.060604470000
     12.060702040000     12.060704426000
     12.060802000000     12.060804390000
     12.060901556000     12.060904350000
     12.061001520000     12.061004310000
     12.061101480000     12.061104270000
     12.061201436000     12.061204230000
     12.061301410000     12.061304190000
     12.061401370000     12.061404150000
     12.061501326000     12.061504106000
     12.061601290000     12.061604070000
     12.061701250000     12.061704030000
     12.061801206000     12.061803586000
     12.061901170000     12.061903550000
     12.062001130000     12.062003510000
     12.062101086000     12.062103466000
     12.062201050000     12.062203430000
     12.062301010000     12.062303390000
     12.062400570000     12.062403346000
     12.062500530000     12.062503310000
     12.062600490000     12.062603280000
     12.062700450000     12.062703236000
     12.062800420000     12.062803200000
     12.062900380000     12.062903160000
