# Interval times for variable: Distance
# Criterion: var lowbound :0[R_V]
# Criterion: var upbound  :4[R_V]
     12.100100050000     12.100102440000
     12.100200080000     12.100202460000
     12.100300100000     12.100302480000
     12.100400120000     12.100402506000
     12.100500150000     12.100502530000
     12.100600170000     12.100602550000
     12.100700190000     12.100702580000
     12.100800220000     12.100803000000
     12.100900236000     12.100903016000
     12.101000256000     12.101003050000
     12.101100290000     12.101103070000
     12.101200310000     12.101203090000
     12.101300330000     12.101303120000
     12.101400356000     12.101403136000
     12.101500380000     12.101503160000
     12.101600410000     12.101603190000
     12.101700430000     12.101703210000
     12.101800450000     12.101803230000
     12.101900476000     12.101903256000
     12.102000500000     12.102003280000
     12.102100520000     12.102103300000
     12.102200550000     12.102203330000
     12.102300570000     12.102303346000
     12.102400586000     12.102403366000
     12.102501020000     12.102503400000
     12.102601040000     12.102603420000
     12.102701060000     12.102703440000
     12.102801086000     12.102803466000
     12.102901106000     12.102903490000
     12.103001140000     12.103003510000
