# Interval times for variable: Distance
# Criterion: var lowbound :0[R_V]
# Criterion: var upbound  :4[R_V]
     12.050104260000     12.050107040000
     12.050204250000     12.050207020000
     12.050304240000     12.050307010000
     12.050404216000     12.050407000000
     12.050504206000     12.050506586000
     12.050604196000     12.050606570000
     12.050704106000     12.050706476000
     12.050804040000     12.050806420000
     12.050904000000     12.050906380000
     12.051003560000     12.051006346000
     12.051103520000     12.051106310000
     12.051203476000     12.051206270000
     12.051303440000     12.051306230000
     12.051403400000     12.051406190000
     12.051503356000     12.051506150000
     12.051603320000     12.051606110000
     12.051703280000     12.051706070000
     12.051803236000     12.051806026000
     12.051903200000     12.051905590000
     12.052003160000     12.052005550000
     12.052103120000     12.052105506000
     12.052203080000     12.052205470000
     12.052303040000     12.052305430000
     12.052403000000     12.052405386000
     12.052502560000     12.052505350000
     12.052602516000     12.052605310000
     12.052702480000     12.052705270000
     12.052802440000     12.052805230000
     12.052902396000     12.052905190000
     12.053002360000     12.053005150000
